                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.961,                 1.2815,                 1.1904,                0.67456,                0.58237,                0.62967,                0.29549,                  1.883,                 1.3129,                 1.2196,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9503,                 1.2777,                 1.1881,                0.65622,                0.58256,                0.62541,                 0.2944,                 1.8938,                 1.3114,                 1.2109,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9482,                 1.2573,                 1.1788,                0.68885,                0.60879,                0.65375,                0.30759,                 1.8598,                 1.2894,                 1.2117,               0.001307,               0.001307,               0.001307
                     37,                 1.9321,                 1.2531,                 1.1772,                0.68628,                0.59272,                0.64295,                 0.3056,                 1.8646,                 1.2733,                 1.2005,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.9244,                 1.2469,                 1.1785,                0.69328,                0.61036,                 0.6644,                0.31151,                 1.8678,                 1.2698,                 1.1981,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.9056,                 1.2205,                 1.1682,                0.67707,                0.61334,                0.64546,                0.30718,                 1.8548,                 1.3042,                 1.2098,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.9093,                 1.2323,                 1.1592,                0.69717,                0.61392,                0.66903,                0.31956,                 1.8653,                 1.2655,                 1.1989,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8879,                 1.2065,                 1.1535,                0.70434,                 0.6174,                0.66951,                0.32222,                 1.8431,                 1.2224,                 1.1903,               0.001208,               0.001208,               0.001208
                     42,                 1.8815,                 1.2067,                 1.1641,                0.68891,                0.62505,                0.65887,                0.32221,                  1.832,                 1.2522,                 1.2064,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8792,                    1.2,                 1.1577,                0.70496,                0.62573,                0.68002,                0.32982,                 1.8124,                 1.2186,                 1.1884,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8622,                 1.1945,                 1.1499,                0.69825,                0.62331,                0.67837,                0.33438,                 1.7848,                 1.2017,                 1.1695,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8561,                 1.1796,                 1.1475,                0.70555,                 0.6235,                0.67231,                0.33199,                 1.8062,                 1.2189,                 1.1955,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8461,                 1.1755,                 1.1444,                0.72172,                0.64644,                0.69496,                0.34488,                 1.7796,                 1.1854,                 1.1686,               0.001109,               0.001109,               0.001109
                     47,                 1.8481,                 1.1705,                 1.1457,                0.70816,                0.63453,                0.67864,                0.33675,                 1.7923,                 1.2004,                  1.179,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8368,                 1.1661,                 1.1416,                0.70175,                0.64905,                0.69281,                0.34541,                 1.7941,                 1.1968,                  1.178,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8409,                 1.1573,                 1.1379,                0.73525,                0.64239,                0.70443,                0.35655,                 1.7606,                 1.1688,                 1.1725,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.8112,                 1.1336,                 1.1315,                0.73794,                 0.6402,                0.71023,                0.35977,                 1.7497,                 1.1566,                 1.1605,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.8084,                 1.1308,                 1.1291,                 0.7251,                 0.6417,                0.70116,                0.36661,                 1.7196,                 1.1621,                 1.1506,                0.00101,                0.00101,                0.00101
                     52,                 1.8036,                  1.123,                 1.1187,                0.73968,                0.65702,                0.71174,                0.37032,                 1.7163,                  1.143,                 1.1461,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7864,                 1.1194,                 1.1182,                0.73749,                0.65611,                0.71493,                0.36924,                 1.7317,                 1.1455,                 1.1577,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.777,                 1.1037,                 1.1154,                0.74843,                0.64866,                0.71448,                0.37274,                 1.7168,                 1.1313,                 1.1471,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.779,                 1.0917,                 1.1106,                0.75836,                0.64579,                 0.7202,                0.37087,                 1.7195,                 1.1236,                  1.148,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7803,                 1.1122,                 1.1157,                0.73902,                0.65631,                0.71805,                0.37788,                 1.7065,                 1.1353,                 1.1462,               0.000911,               0.000911,               0.000911
                     57,                 1.7644,                 1.0893,                 1.1091,                0.74655,                0.66812,                0.72734,                0.37633,                 1.7251,                 1.1137,                 1.1524,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.759,                  1.094,                 1.1129,                 0.7621,                0.67354,                0.74431,                0.38701,                 1.7077,                 1.0856,                 1.1392,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7307,                 1.0658,                 1.1036,                0.74868,                0.68102,                0.73834,                0.39036,                 1.6832,                 1.0904,                 1.1316,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7248,                 1.0614,                  1.096,                0.75211,                0.65223,                0.72326,                0.38747,                 1.6814,                 1.0885,                 1.1316,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.734,                  1.066,                  1.098,                0.75758,                0.67983,                0.73994,                0.38847,                 1.6832,                 1.0927,                 1.1271,               0.000812,               0.000812,               0.000812
                     62,                 1.7286,                 1.0633,                 1.1028,                0.75263,                0.67964,                0.73984,                0.39437,                 1.6758,                 1.0923,                 1.1301,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.718,                 1.0549,                 1.0914,                0.75857,                0.67935,                0.73963,                0.39672,                 1.6711,                 1.0918,                 1.1363,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.7257,                 1.0448,                 1.0893,                  0.778,                0.67712,                 0.7557,                0.40823,                 1.6539,                 1.0487,                 1.1266,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.7092,                 1.0343,                 1.0897,                0.78437,                 0.6816,                0.75861,                0.41199,                 1.6314,                  1.045,                 1.1153,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.7073,                 1.0375,                 1.0907,                0.77083,                0.69628,                0.76138,                0.41305,                 1.6247,                 1.0647,                 1.1119,               0.000713,               0.000713,               0.000713
                     67,                 1.6778,                 1.0226,                 1.0781,                0.78631,                0.67199,                0.75003,                0.40924,                 1.6383,                 1.0409,                 1.1193,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6736,                   1.03,                 1.0859,                 0.7912,                0.68573,                0.76167,                0.41613,                 1.6265,                 1.0395,                  1.115,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.6725,                 1.0188,                 1.0805,                0.79317,                0.67964,                0.76275,                0.42019,                 1.6183,                 1.0319,                 1.1123,              0.0006536,              0.0006536,              0.0006536
                     70,                  1.674,                 1.0106,                 1.0756,                0.79145,                0.69089,                0.76345,                0.42043,                 1.6103,                 1.0301,                 1.1067,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6697,                 1.0095,                 1.0694,                0.78736,                0.68941,                0.76639,                0.42344,                 1.6017,                   1.03,                 1.1052,               0.000614,               0.000614,               0.000614
                     72,                 1.6489,                0.99459,                   1.07,                0.79358,                0.68902,                0.76939,                0.43028,                 1.5844,                 1.0175,                 1.0978,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6522,                 0.9936,                 1.0692,                0.79689,                0.69048,                0.77432,                0.43468,                 1.5852,                 1.0044,                  1.098,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6486,                0.98905,                 1.0676,                0.78211,                0.69841,                 0.7731,                0.43198,                 1.5779,                 1.0159,                 1.0912,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6334,                0.98203,                 1.0625,                0.80195,                0.70311,                 0.7868,                0.44525,                 1.5664,                0.99265,                 1.0934,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.6151,                0.96402,                 1.0535,                0.79882,                0.70286,                0.78068,                0.43737,                 1.5811,                  0.996,                 1.0901,               0.000515,               0.000515,               0.000515
                     77,                 1.6343,                0.97777,                 1.0631,                0.80811,                0.69782,                0.78383,                0.44155,                 1.5692,                0.98242,                 1.0926,              0.0004952,              0.0004952,              0.0004952
